Tanggal,Glove_Nike,Glove_Rawlings,Glove_Mizuno,Glove_Adidas
1,39,28,35,67
2,43,24,44,35
3,23,27,69,47
4,35,30,56,21
5,50,59,42,46
6,24,25,28,49
7,31,36,20,67
8,50,49,24,52
9,11,12,16,20
10,26,18,48,69
11,70,23,30,45
12,27,23,35,67
13,29,17,26,42
14,39,36,19,20
15,24,23,32,42
16,17,22,44,69
17,27,50,49,70
18,27,53,24,40
19,53,62,37,47
20,19,28,42,49
21,54,42,26,56
22,26,22,38,62
23,18,19,17,42
24,25,58,40,34
25,37,28,38,60
26,49,36,23,48
27,15,19,37,45
28,21,38,41,42
29,22,23,19,49
30,18,16,20,28
31,17,15,45,57
